sample_name,N,Nadd,Block,Nlevel,DOC,DN,NH4,NO3,IN,LIN,AP,pH,CEC,Cu,Fe,Mn,Zn,Ca,K,Mg,Na,Plant.biomass,Plant.richness,DNA,chiA,AOA,AOB,nirK,nirS,nosZ,KO.richness,OTU.richness,CN.ratio,lgt,lgtko,virus,OTU.shannon,KO.shannon
YN00_1,N0,Ncont,B1,0,38.74088297,9.838434718,1.1051422,1.89659775,3.00173995,0.477373065,2.35,7.12,7.069359476,0.307,10.4912,8.722,0.391,2233.2,263.2,190.22,4.348,148.69,12,6.625,42205673.64,37898724.99,246388.9536,168058.7306,251406.98,315821.568,9466,2563,12.90614231,55,3445,4.032743254,6.708174861,8.033371244
YN00_2,N0,Ncont,B2,0,42.14252495,12.65113542,1.436472109,1.336130308,2.772602417,0.442887597,1.9,7.33,8.602052285,0.2864,7.4452,6.628,0.9354,2771.2,308,208.2,3.866,153.88,16,8.441176471,53609674.11,34258407.97,59364.22798,120061.1192,238185.57,312561.5784,9460,2600,15.19962786,33,3312,4.039593798,6.716757356,8.034741369
YN00_3,N0,Ncont,B3,0,47.75377024,10.87496232,0.963907539,2.339371106,3.303278645,0.51894521,2.9,7.26,9.347689298,0.2484,9.8172,9.092,0.4174,2903.2,397,247,9.792,163.21,14,13.4,50691782.47,48476527.22,201194.9703,295218.5488,518933.2783,449729.4123,9518,2630,14.45647654,29,3273,3.967479759,6.766402275,8.031830318
YN00_4,N0,Ncont,B4,0,65.67374468,11.88000575,1.917866975,1.917866975,3.83573395,0.583848476,2.05,7.67,10.33485474,0.2236,8.1052,5.696,0.6284,3533.2,233,212.2,4.658,100.07,10,10.71875,47523546.06,22426128.7,253060.5904,160511.4877,273935.9571,340546.0933,9517,2556,17.12155888,40,3402,3.925992889,6.710171084,8.03928131
YN02_1,N02,Ncont,B1,2,38.18954872,11.49223089,1.732378998,3.143389139,4.875768137,0.688043045,2.4,6.79,7.249465496,0.3782,14.2832,12.138,0.5624,2240.2,289,210.62,6.982,186.84,9,10.9,58158492.97,57741526.78,526423.5793,172339.7871,333440.8919,464077.4935,9607,2410,7.83251944,32,3305,4.016119065,6.579902711,8.038107758
YN02_2,N02,Ncont,B2,2,40.50761449,12.60433142,1.583939742,1.94045351,3.524393252,0.547084361,1.9,7.75,10.32372598,0.2726,7.0832,5.814,0.4976,3537.2,251,193.84,6.778,187.3,11,8.194444444,57010859.16,24556452.12,163242.2566,133612.3227,234042.2105,326405.5219,9498,2351,11.49350018,35,3374,4.13359959,6.645388059,8.035542483
YN02_3,N02,Ncont,B3,2,55.65620697,12.01846319,1.250097228,3.133023759,4.383120987,0.641783459,2.25,7.86,8.311026031,0.1954,7.1292,6.006,0.332,2855.2,204.8,150.42,4.864,296.55,11,11.24,40786563.58,25603553.36,343986.8772,130622.265,293392.1808,318415.1459,9668,2378,12.69784866,42,3395,3.986020945,6.527274111,8.04170444
YN02_4,N02,Ncont,B4,2,60.72576754,15.50000874,2.592391079,5.195363346,7.787754425,0.891412248,2.3,7.62,11.74576544,0.2358,9.8592,6.278,0.6006,4111.2,239,200.8,4.204,341.04,5,11.95652174,42702581.47,30578220.68,1052885.857,183403.2428,302499.2279,316968.487,9489,2571,7.797596615,43,3377,4.031449201,6.611736931,8.040883844
YN02_5,N02,Ncont,B5,2,35.85946401,7.940878371,1.477595182,2.263886904,3.741482086,0.57304367,4.35,6.68,6.386282943,0.3208,14.9132,14.318,0.4494,1969.4,232.4,203,4.842,184.15,10,23.85294118,123029478.9,300873464.9,385260.6786,212526.9542,515656.9125,660007.5744,9397,2224,9.58429392,35,3327,3.990970391,6.717450166,8.031350517
YN05_1,N05,Ncont,B1,5,50.54133247,11.85954777,2.407916375,3.049685132,5.457601507,0.737001822,2.45,6.41,6.188881327,0.4066,22.5392,18.108,0.39,1868.6,272.2,195.66,0.962,214.91,14,8.32,42609339.4,40726567.26,496691.8412,124756.2326,250402.8244,455492.0211,9642,2500,9.26072239,36,3403,4.036358448,6.383267856,8.042778478
YN05_2,N05,Ncont,B2,5,43.91804637,35.37676102,15.81601908,11.3703246,27.18634368,1.434350803,2.65,6.81,8.200817837,0.3594,16.3132,12.908,0.269,2633.2,251.8,227.6,5.484,163.79,11,7.5625,53846734.12,28189176.25,3224313.726,130101.8438,179538.4794,287424.7346,9672,2562,1.615445125,55,3444,4.269346015,6.612776376,8.046942291
YN05_3,N05,Ncont,B3,5,59.35470474,13.30064942,2.177894295,3.173358741,5.351253036,0.728455487,3.5,6.86,8.371653735,0.272,16.9832,13.058,0.2784,2745.2,222.2,221.2,3.966,170.67,9,10.93103448,33031923.36,19953589.98,1120333.317,110409.6659,238334.5774,434178.4602,9784,2433,11.09173951,38,3423,4.232539222,6.683719291,8.0516428
YN05_4,N05,Ncont,B4,5,68.59774549,15.53721651,3.322118083,4.464096174,7.786214257,0.89132635,2.4,7.6,10.2991971,0.2722,10.9892,7.926,0.4258,3577.2,221,185.28,4.032,239.14,10,25.44,81584480.34,153248544,1901743.907,356595.2841,816285.3644,738796.2666,9691,2510,8.810153847,57,3598,3.173036609,6.622569017,8.050294718
YN05_5,N05,Ncont,B5,5,47.16645876,10.20750748,2.6846088,3.509488599,6.194097399,0.79197803,5.25,6.21,6.001127759,0.4042,21.3992,19.98,0.4506,1810.2,257.2,192.28,3.444,181.55,12,27.41935484,111879525.1,213112637,880972.2143,420818.6682,707877.2029,775661.8236,9412,2594,7.61474283,44,3430,4.187801031,6.68927054,8.044849477
YN10_1,N10,Ncont,B1,10,48.19211838,60.09779837,43.59824372,25.32869921,68.92694293,1.838389017,3.5,5.58,6.466335229,0.4664,27.0592,34.3,0.3722,1906.2,311.6,211.2,5.028,218.51,8,7.366666667,29810743.96,25758382.47,4770965.119,129108.3653,140421.852,391686.6263,10150,2484,0.699176785,44,3661,4.185316147,6.725082417,8.065348804
YN10_2,N10,Ncont,B2,10,44.26516735,28.93261043,9.954009909,7.367968139,17.32197805,1.238597484,2.15,6.44,8.082338796,0.4212,18.6452,19.302,0.2404,2589.2,230.4,241.8,2.546,242.1,9,9.25,56274231.52,30924317.01,2766443.769,321505.7745,245790.1632,429105.4706,9924,2587,2.555433751,37,3473,4.118289022,6.727875037,8.054364797
YN10_3,N10,Ncont,B3,10,68.83362868,19.60628172,2.026229803,8.120545663,10.14677547,1.00632805,2.6,6.82,9.477578484,0.321,16.7452,13.336,0.3386,3043.2,353.4,222.2,8.646,503.81,15,7.942857143,40565140.26,19429647.99,2271889.528,151649.7142,276526.5249,511396.1345,9845,2405,6.783793421,50,3497,4.229957784,6.741555302,8.053763779
YN10_4,N10,Ncont,B4,10,59.36247553,23.03079957,11.62728271,9.029375032,20.65665774,1.315060054,2.55,6.22,8.125449833,0.3248,22.9792,22.18,0.4284,2647.2,198.4,230.2,9.1,235.33,10,23.71428571,65505321.02,145368751.3,4686609.76,494259.5115,523927.5713,1168262.378,9663,2451,2.873769623,55,3466,4.287754674,6.617744881,8.056169193
YN10_5,N10,Ncont,B5,10,56.82216275,21.15064505,15.9449598,9.304267161,25.24922696,1.402248086,5.75,5.48,5.982082776,0.4794,36.4192,44.16,0.5018,1759,290.4,197.7,3.73,320.87,7,25.15,119961877,143445051.1,5664593.737,579580.7393,426875.0833,1469924.722,10002,2367,2.250451582,62,3668,4.213797918,6.643535316,8.062863631
YN15_1,N15,Ncont,B1,15,53.94808387,49.8297725,31.45194732,17.65383394,49.10578126,1.691132625,3.85,5.66,6.382939019,0.4736,28.1392,35.26,0.3252,1974.8,209.4,212.6,5.332,261.81,9,7.222222222,33110655.98,17308207.56,6829540.595,153359.7493,162781.9266,484854.7026,9874,2380,1.098609624,65,3637,4.206109255,6.631575985,8.058513537
YN15_2,N15,Ncont,B2,15,64.34806072,72.49824984,44.43969132,24.02455613,68.46424745,1.835463839,4.3,6.99,10.1062563,0.3782,23.5992,18.434,0.228,3425.2,223.8,224.2,8.106,229.69,6,7.848484848,43293192.54,20886316.99,8126260.194,158742.8904,183539.7004,358322.3529,9991,2513,0.939878303,37,3520,4.268286963,6.62866075,8.055225361
YN15_3,N15,Ncont,B3,15,110.1005135,68.63394207,38.24489196,23.57308705,61.81797901,1.791114803,5.4,7.06,9.323372575,0.3308,27.6792,21.18,0.2538,3215.2,185.54,190.16,3.978,254.67,8,9.608695652,37220186.77,13549432.97,16835343.39,105668.9774,229249.2767,586603.5812,10251,2323,1.781043561,49,3636,4.347728888,6.744611892,8.061530599
YN15_4,N15,Ncont,B4,15,74.69144583,31.70384721,16.81382979,11.04255319,27.85638298,1.444924725,4.7,6.18,8.130195429,0.3316,29.7592,24.96,0.336,2615.2,249.8,221.4,6.712,263.04,7,22.66666667,85185408.45,85309479.65,15918878.2,570398.2539,512222.2274,1365194.163,9661,2271,2.681304528,63,3690,4.049218304,6.65321941,8.061012189
YN15_5,N15,Ncont,B5,15,45.49113613,22.02861836,13.98687998,9.359232145,23.34611213,1.368214567,6.45,5.64,6.685319955,0.472,32.3192,37.68,0.3624,2051.2,230.4,228.8,3.04,279.32,6,22.46153846,112693987.6,147354369.2,10314099.48,501745.3351,400284.7952,984779.9407,10093,2265,1.94855297,74,3674,4.303568471,6.580630998,8.062082381
YN20_1,N20,Ncont,B1,20,62.19863633,153.1418433,135.636655,34.42629639,170.0629514,2.230609712,9.75,4.75,4.121948718,0.4998,44.4392,61,0.3572,1068.2,300.8,158.2,4.83,213.65,6,5.102564103,11827736.99,7883907.534,12969345.06,68315.72023,58846.72719,366065.2693,10879,1996,0.365738897,60,3739,4.222931808,6.506541412,8.099208051
YN20_2,N20,Ncont,B2,20,58.72873862,178.0435063,319.4861874,36.26946744,355.7556548,2.551151812,4.75,6.64,7.534064994,0.4032,25.5992,28.18,0.205,2429.2,252.4,192.68,2.542,285.92,6,6.966666667,21276313.77,19418657.46,15876472.27,92377.93588,123868.437,522901.0641,10527,2165,0.165081673,44,3595,4.269719044,6.189937916,8.071017679
YN20_3,N20,Ncont,B3,20,60.85616805,107.0159193,59.42881296,27.56227898,86.99109194,1.939474782,6.3,6.01,7.424513266,0.417,35.2192,33.16,0.3714,2317.2,296.2,206.4,2.766,614.23,7,8.833333333,24985102.47,17224122.35,11708443.61,134290.2741,146870.385,366748.1856,10349,2359,0.699567814,50,3661,4.399283759,6.463142248,8.07083976
YN20_4,N20,Ncont,B4,20,74.89916173,72.51555849,48.77998734,29.98886475,78.76885209,1.896354516,6.65,5.94,6.860095262,0.3586,36.7992,32.08,0.353,2149.2,266.2,188.06,4.818,287.05,5,23.29166667,71348620.08,127855219.8,26983717.73,470467.7569,358085.4002,1406456.797,9997,2219,0.950872835,45,3605,4.208994055,6.569977341,8.066452582
YN20_5,N20,Ncont,B5,20,71.93135817,75.83482078,86.78108942,31.1607252,117.9418146,2.071667805,9.15,5.09,4.950575028,0.4594,41.2992,57.3,0.42,1462.4,235.6,164.96,0.722,277.79,9,18.19230769,76990410.1,108867785.6,19847772.22,370980.2222,228385.9832,1408725.091,10467,2174,0.609888515,44,3754,4.304410908,6.418791799,8.078714099
YN50_1,N50,Ncont,B1,50,46.91563147,531.4628667,548.8814096,38.86907453,587.7504841,2.769192996,14.65,5.15,3.042499666,0.4774,48.3192,18.588,0.4244,716.6,334.4,89.96,4.308,351.57,3,7.268292683,5624604.286,6555321.453,1731240.652,32834.29743,41865.15069,170163.0121,11695,2171,0.079822361,41,3639,4.456962741,6.449428372,8.122923239
YN50_2,N50,Ncont,B2,50,64.24026532,475.0248558,300.8816529,49.30831035,350.1899633,2.544303695,17.95,4.64,2.443830045,0.4582,55.8392,21.74,0.2378,513.4,287,99.42,2.342,471.16,3,4.818181818,1318612.927,50721.99966,8572298.617,43848.57025,14936.51372,247360.9605,11531,776,0.183444051,89,3847,4.372725042,6.381892774,8.106836682
YN50_3,N50,Ncont,B3,50,67.6000362,387.6865089,381.478372,38.54478006,420.0231521,2.62327323,14.35,5.37,4.335991026,0.4102,45.4792,33.6,0.2748,1349,189.14,110.86,3.818,488.53,3,8.291666667,5049802.168,2083594.09,15708520.73,16763.70451,24871.18774,309539.5952,11715,1557,0.160943595,59,3804,4.39184572,4.862457106,8.12499667
YN50_4,N50,Ncont,B4,50,67.9082081,206.3024121,229.1168771,43.06113082,272.1780079,2.434853031,19.45,4.27,2.749708919,0.3732,55.5192,19.46,0.229,628.2,257.2,117.84,6.606,596.74,2,6.535714286,11980346.68,5492150.877,34994991.57,57025.87683,88138.6697,1267658.729,11459,1029,0.249499247,79,3789,4.176547297,5.488815473,8.119766564
YN50_5,N50,Ncont,B5,50,58.86576788,236.3055602,480.0679669,38.03826982,518.1062367,2.71441882,21.1,4.67,1.923890635,0.4102,58.1392,24.02,0.247,418,213.8,77,2.266,478.12,4,11.79166667,8219614.078,3183187.324,17248319.28,30664.44933,72470.1872,534611.8237,12148,850,0.113617177,57,3818,4.246603844,4.817983409,8.151969584
NN00_1,N0,Ncess,B1,0,37.56901003,10.70081973,0.60354842,2.077212478,2.680760898,0.42825808,2.15,6.53,7.583862988,0.3372,11.8672,11.25,0.364,2329.2,295.8,237.4,3.044,136.96,11,16.84,42080389.22,60567720.62,166093.4069,53495.94547,109712.8227,234061.1884,9599,2483,14.01430842,46,3402,4.033963831,4.941660819,8.034078882
NN00_2,N0,Ncess,B2,0,45.85234355,11.30564371,0,2.195122595,2.195122595,0.34145878,1.9,7.04,8.229380825,0.3198,8.5272,8.662,0.3354,2603.2,311,216.4,5.124,303.02,10,5.540540541,24020376.96,28459230.98,148567.959,127466.2371,177193.1344,340302.0364,9472,2497,20.88828371,45,3323,4.104850469,6.642875667,8.034416955
NN00_3,N0,Ncess,B3,0,45.97510188,10.27131632,0,2.224192541,2.224192541,0.34717238,2.3,7.3,9.886251394,0.3213,10.0142,9.9875,0.4154,3137.2,371.2,247.8,13.56,146.04,9,9.2,39073095.9,31536009.51,240830.4385,184655.7553,384671.0737,331540.2552,9579,2379,20.67046851,32,3374,3.956262338,6.544838008,8.035938824
NN00_4,N0,Ncess,B4,0,99.08810467,18.59776931,5.099882879,2.522929348,7.622812227,0.882115222,2.15,7.68,10.5688369,0.2484,6.4852,6.41,0.4724,3687.2,220.4,183.72,4.648,210.51,11,39.35,128493465.7,179098616.2,641949.9123,568279.277,1337523.017,1053705.896,9591,2420,12.99889092,49,3388,4.07408697,6.631111144,8.04188003
NN00_5,N0,Ncess,B5,0,66.33279568,11.06371463,0,2.127182389,2.127182389,0.327804729,4.7,6.74,6.326063601,0.3798,13.1772,13.628,0.4898,1978.2,216.6,196.82,1.172,207.17,11,31.39285714,163044232.4,284847529,2324195.172,349033.8039,826224.4183,1083443.514,9094,2604,31.1834077,53,3376,4.12972544,6.734966853,8.031622798
NN02_1,N02,Ncess,B1,2,70.1721367,15.24066032,3.312369422,2.119490402,5.431859824,0.734948554,2.55,6.56,7.063247269,0.3632,14.6292,12.176,0.375,2157.2,290.4,217.6,4.362,197.69,12,9.3,64270779.54,46558932.72,1740132.349,146257.3977,238121.7527,367841.1505,9550,2545,12.91862069,59,3394,4.164993424,6.669423541,8.043185244
NN02_2,N02,Ncess,B2,2,54.14550339,12.12428464,1.84607509,2.677057678,4.523132768,0.655439336,2.1,7.7,10.09021093,0.3034,7.7732,5.83,0.3054,3411.2,263.2,201.6,10.888,249.3,8,8.851851852,28334603.77,25873481.37,71818.28855,146306.6271,241222.4897,334292.6468,9502,2522,11.97079683,26,3270,3.996993246,6.635921955,8.036329548
NN02_3,N02,Ncess,B3,2,50.98256729,11.36940402,1.471141776,2.445139089,3.916280865,0.592873831,2.1,7.66,9.307345819,0.3127,10.7892,9.106,0.4179,3139.2,267,180,5.688,222.55,13,13.13333333,42825194.93,32816290.7,83870.56667,178089.8196,370588.3255,275536.749,9605,2519,13.01810801,40,3390,4.136696583,6.660518573,8.041345156
NN02_4,N02,Ncess,B4,2,57.23126799,11.68766645,2.582225982,3.03916309,5.621389072,0.749843645,2.55,7.59,9.774387514,0.2442,8.0192,5.924,0.5256,3239.2,299.8,210,7.514,146.04,12,31.875,109103171.8,151270350.2,360721.0304,558018.0964,670435.2007,1060164.986,9745,2432,10.18098325,67,3562,3.883191115,6.629274618,8.05185517
NN02_5,N02,Ncess,B5,2,41.00987728,8.140321599,2.372311828,2.39744225,4.769754078,0.678495988,4.45,6.84,6.981914716,0.3402,12.7352,12.494,0.4658,2185.2,254.6,204.2,3.51,162.39,11,28.12121212,133252195.5,299737992.8,686415.3374,284713.0223,774012.4344,675749.999,9399,2385,8.597901822,38,3325,4.054526513,6.478245634,8.030569693
NN05_1,N05,Ncess,B1,5,43.54559181,12.78982779,2.793013928,2.583665535,5.376679463,0.730514146,3.1,6.6,6.93845641,0.3568,16.2292,12.636,0.4686,2051.2,329,228.4,3.496,126.8,15,9.026315789,57491250.42,41488346.43,351683.8851,167859.4822,240003.5975,385257.3293,9783,2495,8.098974862,40,3422,4.084752622,6.687278417,8.045313211
NN05_2,N05,Ncess,B2,5,54.51025709,11.43332733,1.896217265,1.52006547,3.416282735,0.533553806,1.9,7.03,7.237744147,0.3716,12.9412,8.94,0.287,2283.2,262,199,6.62,149.69,12,7.833333333,35025191.87,31496183.89,164336.2644,135377.9491,230972.3973,255488.6529,9720,2399,15.95601457,44,3351,3.989942525,6.543776307,8.040062228
NN05_3,N05,Ncess,B3,5,53.38791318,11.25839274,0.869962737,2.873513283,3.74347602,0.573275055,2.5,7.22,8.056254849,0.2314,9.8972,6.948,0.3324,2643.2,229,200.8,5.614,234.82,9,10.08333333,36800843.63,27031605.29,307292.3583,159280.6351,209775.7033,331682.4437,9559,2594,14.26158813,45,3416,4.059415505,6.689167713,8.042259889
NN05_4,N05,Ncess,B4,5,69.92891224,13.29997558,2.600877755,2.681650356,5.282528111,0.722841817,2.3,7.63,10.91619175,0.2576,11.7292,6.918,0.683,3757.2,238.8,211.6,6.72,267.71,10,25.8,104614198.1,154175264.4,953912.1857,345589.5825,675761.9107,663861.6227,9338,2600,13.2377738,41,3461,4.022570086,6.762471703,8.037310556
NN05_5,N05,Ncess,B5,5,58.42892687,10.47508899,2.42675854,2.149846258,4.576604798,0.660543412,4.35,6.41,7.978228094,0.382,19.6912,17.316,0.4856,2479.2,286.8,244.8,5.714,126.94,10,21.13636364,128285111.1,183774392.8,995804.6119,523444.3916,1079696.256,1045963.497,9240,2497,12.76687183,48,3491,4.042830648,6.609111876,8.039768803
NN10_1,N10,Ncess,B1,10,39.11147745,10.64098781,1.884571627,2.025522968,3.910094595,0.592187264,2.95,6.31,7.331369119,0.4118,20.9592,17.844,0.3632,2161.2,348.8,244.6,3.414,290.43,8,9.516129032,45230801.08,36576213.55,898803.3322,165689.2777,167857.2126,319923.7933,9687,2578,10.00269341,28,3392,4.027247822,6.680521367,8.046993031
NN10_2,N10,Ncess,B2,10,59.85822116,12.34568722,1.277122627,2.815824588,4.092947215,0.612036144,2.45,7.18,7.663325028,0.324,15.4492,8.804,0.2566,2581.2,196.6,165.38,3.942,310.65,10,8.939393939,40926713.84,24217704.3,432942.6136,185828.0567,231247.4392,372083.9695,9773,2446,14.62472346,42,3377,4.111470082,6.63319461,8.047930535
NN10_3,N10,Ncess,B3,10,63.56783082,14.4978149,1.290568828,4.044831572,5.3354004,0.727167017,2.4,6.79,8.9921699,0.3256,14.4452,12.438,0.4302,2831.2,354.6,236.4,4.586,205.28,10,10.75757576,43837387.64,31482420.6,971470.6123,135605.4931,210832.7952,358322.3529,9735,2277,11.91435057,44,3466,4.13584768,6.475296071,8.046818047
NN10_4,N10,Ncess,B4,10,52.80969373,11.39098413,2.47750397,2.519230353,4.996734323,0.698686259,2.4,7.04,9.251175474,0.2892,18.4632,10.354,0.449,3083.2,204,239.6,5.006,210.4,9,28.03703704,139319333.4,164529473.8,1103242.066,702398.0643,603862.9655,896186.0712,9433,2457,10.56884163,69,3504,4.093363937,6.640057695,8.042514474
NN10_5,N10,Ncess,B5,10,57.35833653,9.218291748,1.61820618,1.432086619,3.050292799,0.484341529,5,6.27,7.068806132,0.374,22.9592,18.256,0.435,2183.2,263.6,216.6,7.454,221.25,11,24.56666667,105269644.6,177567874.1,1595407.423,289461.9715,417348.3664,914529.1671,9523,2584,18.80420678,55,3499,3.950520223,6.754001549,8.043907998
NN15_1,N15,Ncess,B1,15,47.36696839,12.63204885,1.371248963,2.290668766,3.661917729,0.563708583,2.7,6.53,7.618208138,0.3658,21.4592,13.446,0.2756,2409.2,256.6,219.8,4.928,246.01,10,7.5,36819741.46,23426948.51,508126.8547,125947.6701,184535.6263,363187.4473,9838,2546,12.93501709,41,3401,4.188192226,6.679465959,8.050068108
NN15_2,N15,Ncess,B2,15,65.00108987,11.60797292,0.872504779,1.897190624,2.769695403,0.44243201,2.75,7.24,9.028534114,0.3796,18.9232,9.802,0.2826,3043.2,208.6,206.2,6.094,219.64,8,7.787878788,29762405.27,14920767.62,1102923.182,99607.9466,158728.4647,238212.2549,10123,2594,23.46867811,56,3493,4.173544485,6.718811763,8.052534726
NN15_3,N15,Ncess,B3,15,65.92485436,11.98037806,1.320125976,2.234059343,3.554185319,0.550740069,2.25,7.59,10.6716748,0.2348,11.9732,6.756,0.2552,3777.2,190.04,172.12,5.572,619.55,4,11.08333333,37968234.82,16880016.23,627971.0173,92374.94256,282340.1533,311489.9604,9622,2480,18.5485135,45,3462,4.078978046,6.712629065,8.038061485
NN15_4,N15,Ncess,B4,15,91.4205983,14.05421734,5.730922997,2.216235008,7.947158005,0.900211848,2.4,6.86,9.866492196,0.3394,22.7992,13.014,0.3204,3223.2,261.8,260.2,12.2,202.13,8,24.96153846,130103462.4,148348934.6,2294809.325,743919.3367,501012.9514,930654.7662,9572,2524,11.50355866,60,3460,4.104093317,6.712026164,8.046124923
NN15_5,N15,Ncess,B5,15,55.61939812,8.930635495,1.929315058,1.036877879,2.966192937,0.472199396,5.4,5.84,6.479837904,0.4268,31.9392,26.82,0.5364,1921.6,267.6,230.8,6.444,233.37,7,22.31818182,121272831.2,125246154.6,3038164.109,637370.2713,736228.1589,1045963.497,9721,2548,18.75110598,54,3567,4.102029101,6.77885102,8.051244026
NN20_1,N20,Ncess,B1,20,50.84161982,11.33472451,1.31985913,1.842726401,3.162585531,0.50004228,5.3,5.8,4.820730713,0.4238,36.1592,32.64,0.2884,1340,291.6,170.62,2.788,220.38,7,7.235294118,23214782.72,27438509.5,1183293.835,188843.1635,128059.6491,308659.6826,10153,2290,16.07596674,47,3607,4.19191479,6.590250436,8.063481901
NN20_2,N20,Ncess,B2,20,46.5079574,11.38149723,1.34904405,1.778285338,3.127329388,0.495173626,3.5,6.1,7.001877146,0.4446,25.8392,23.94,0.2986,2103.2,297.4,228,7.202,306.55,8,12.87096774,19222866.79,15051233.77,606060.8615,31071.61037,45122.80891,145903.6491,10404,2531,14.87146112,41,3479,4.087838458,6.771795055,8.06430068
NN20_3,N20,Ncess,B3,20,44.85562599,12.87562741,3.647351327,3.15228148,6.799632807,0.832485461,3.65,6.08,7.401157748,0.4186,26.2992,21,0.3286,2199.2,343.4,241,4.25,260.65,5,8.057142857,31010898.16,16532974.56,2226818.122,195893.1382,191065.262,501849.9806,10417,2495,6.596771806,50,3594,4.298084298,6.64164811,8.069415691
NN20_4,N20,Ncess,B4,20,55.88290893,12.18798439,4.210379846,2.911756664,7.12213651,0.852610294,4.25,6.06,7.433418172,0.4372,31.1392,21.94,0.3684,2281.2,281.4,236.2,5.684,236.92,8,30.6,156921297.1,192853615,9410900.001,859323.0249,432548.6044,1225145.43,10133,2398,7.846368692,60,3580,4.185789582,6.594164706,8.069568002
NN20_5,N20,Ncess,B5,20,48.87282677,8.261480423,1.787563048,0.825833221,2.613396269,0.417205267,7.25,5.76,5.175726979,0.4184,32.3192,29.26,0.4378,1539,204.6,187.76,4.894,426.94,7,15.6097561,73731466.11,140850619.3,1597892.618,273593.9827,459825.9807,773170.6332,9909,2405,18.70088641,57,3603,4.062331769,6.65564871,8.049744839
NN50_1,N50,Ncess,B1,50,64.1698582,20.75574297,9.421482199,1.297884051,10.71936625,1.03016911,14.55,5.14,4.269685061,0.5308,51.4792,35.2,0.709,1033.8,351.4,183.44,4.56,212.41,7,5.366666667,12434236.17,3470061.933,2632892.809,196516.8165,60318.66184,522901.0641,11181,1691,5.986348139,40,3801,4.100535303,6.015315403,8.099320911
NN50_2,N50,Ncess,B2,50,46.82093915,15.86507208,5.113456794,1.408434143,6.521890937,0.814373532,11.95,5.42,4.448459978,0.4926,43.8192,30.94,0.24,1253.2,232.2,165.76,6.764,274.81,6,5.111111111,8863897.079,3538330.524,4923242.922,63221.63978,74203.89085,334710.1401,11225,2114,7.179043563,78,3903,4.080379637,6.420050517,8.106830263
NN50_3,N50,Ncess,B3,50,64.09961877,15.72667699,4.092058563,2.2099231,6.301981663,0.799477135,5.8,6.61,7.762434253,0.3604,36.8592,17.312,0.3104,2555.2,214,192.51,5.426,402.46,3,9.3,24107208.01,12373269.3,2814760.11,86508.97573,164529.5875,409292.3665,10978,2386,10.17134327,58,3742,4.24500199,6.737543958,8.084269107
NN50_4,N50,Ncess,B4,50,69.34301265,13.74407467,6.473013702,1.379237786,7.852251488,0.894994201,11.35,4.89,4.490998328,0.4248,49.9792,47.36,0.2608,1188.6,262.8,197.76,4.98,247.35,5,18.47826087,48384321.9,34981666.08,17176095.33,246427.3396,383652.6822,904827.6919,10767,1873,8.830971952,86,3900,4.121673183,6.232948315,8.104786722
NN50_5,N50,Ncess,B5,50,57.45916372,13.18358883,4.226971325,1.150022428,5.376993753,0.730539532,15,4.81,3.757707246,0.4976,55.9392,44.74,0.3274,904.8,273,188.72,2.156,148.69,12,11.04,35997023.12,19563370.68,6720586.726,225229.881,291461.6912,2274095.014,10801,1602,10.68611316,54,3814,4.230744387,5.965291656,8.081963233
